Unnamed: 0,YoB,income,frq,rcn,mnt,clothes,kitchen,small_appliances,toys,house_keeping,has_dependents,per_net_purchase,gender,education,marital_status,description,age,spent_online,oh_education_2nd Cycle,oh_education_Graduation,oh_education_Master,oh_education_OldSchool,oh_education_PhD,oh_gender_M,oh_description_Kind of OK,oh_description_Meh...,oh_description_OK nice!,oh_description_Take my money!!,oh_has_dependents_1.0,oh_marital_status_Married,oh_marital_status_Single,oh_marital_status_Together,oh_marital_status_Whatever,oh_marital_status_Widow,behavior_labels,product_labels,labels
0,1946,0.7564883557152244,1.2062853593556495,0.0506068509218846,1402,-0.574129415316252,-0.2599073172245286,1.2296366167492727,0.3739411751761225,-0.4985886942097721,False,-1.266793495445899,M,Graduation,Together,Take my money!!,1.1598146530516409,0.5372951335937496,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3,1,1
1,1936,1.5646817995312363,1.1145660426059,-0.8095104692640775,1537,0.1944133650287385,-0.769610589798235,0.7529065039676988,-0.3832539401718822,-0.625456548700455,False,-1.807488509630071,F,PhD,Divorced,Take my money!!,1.737996686446028,-0.2244075707589196,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1
2,1990,-1.5123836484655293,-0.8115396091388449,0.0936127169311827,44,-0.7876135209676381,1.524054136783444,-0.359463759189307,-0.7618514978458846,2.165636250094569,True,0.8959865612907881,M,Graduation,Married,Kind of OK,-1.3841862938836618,-0.8928381282607507,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,2,3
3,1955,0.857835035936566,0.5642501421074013,-0.7521693145850135,888,0.4078974706801248,0.3772217734926044,-0.756738853173952,-0.1308555683892139,-0.2448529852284063,True,-0.4016814727512242,F,Master,Married,OK nice!,0.6394508229966926,0.8015265598127702,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,5
4,1955,0.795370015032842,1.0228467258561502,-0.5228046958687568,1138,0.3652006495498475,-0.2599073172245286,-0.041643684001591,-0.3832539401718822,-0.3717208397190892,True,-0.4557509741696414,F,Graduation,Together,Take my money!!,0.6394508229966926,1.25432476250957,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2,0,6
5,1982,-1.728885448665871,-0.5363816588895957,0.0362715622521186,56,-0.1471612040134794,-0.6421847716548085,1.5474566919369888,-0.6356523119545504,-0.7523244031911379,True,1.3285425726381257,M,PhD,Single,OK nice!,-0.921640667168152,-0.8240737138732703,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1,2
6,1969,-0.0174020167028144,-0.1695043918905966,0.1509538716102469,345,0.8775625031131745,-0.0050556809376754,-1.233468965955526,-0.7618514978458846,0.1357505782436424,True,0.1930830428513647,M,Graduation,Together,OK nice!,-0.170004023755449,-0.1032370585553753,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,5
7,1960,-0.0494884701396894,-1.3618555096373437,-0.2647694998129681,41,1.4326211778067788,-0.769610589798235,-1.312923984752455,-0.6356523119545504,-0.8791922576818209,True,-0.2935424699143898,M,Graduation,Together,Horrible,0.3503598062994992,-0.9570222140082346,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0,5
8,1940,1.436626689778634,0.9311274091064003,0.179624448949779,1401,-0.5314325941859747,0.2497959553491778,0.5145414475769118,0.2477419892847883,0.2626184327343253,False,-1.3749324982827336,M,Graduation,Divorced,OK nice!,1.506723873088273,0.3694885479647858,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1
10,1949,1.000316331435985,0.0139342416089028,0.4376596450055676,774,-0.574129415316252,1.141776682353164,0.3556314099830538,0.2477419892847883,-0.2448529852284063,False,-1.483071501119568,M,Master,Single,OK nice!,0.9863600430333248,-0.3566422534434948,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,1,1
